        g[-1,1]                 Second order                Exact                     CCDhh


 -0.98000001907348633        2.6998833415031429        2.7674782181324389        2.7623768579377650     
 -0.95999997854232788        2.6911999905586241        2.7537860077418941        2.7502263483061680     
 -0.93999999761581421        2.6822833322564761        2.7447645477342615        2.7379636794338276     
 -0.92000001668930054        2.6731333410660425        2.7295158633023586        2.7255873290548811     
 -0.89999997615814209        2.6637499886751170        2.7158196661602467        2.7130957453817519     
 -0.87999999523162842        2.6541333310127255        2.7044993415010961        2.7004874596149446     
 -0.86000001430511475        2.6442833404620485        2.6914208201880534        2.6877608618641271     
 -0.84000003337860107        2.6342000170230859        2.6778927281408258        2.6749143489691658     
 -0.81999999284744263        2.6238833296020827        2.6643820021535358        2.6619462478500653     
 -0.80000001192092896        2.6133333396911622        2.6511318397944184        2.6488549696721355     
 -0.77999997138977051        2.6025499844074247        2.6378709000031062        2.6356387375788515     
 -0.75999999046325684        2.5915333280245463        2.6239495998383084        2.6222958979986890     
 -0.74000000953674316        2.5802833387533823        2.6100923753899146        2.6088246449990127     
 -0.72000002861022949        2.5688000165939329        2.5968386685211069        2.5952231765662885     
 -0.70000004768371582        2.5570833615461979        2.5800767454037903        2.5814896544864405     
 -0.68000000715255737        2.5451333376487097        2.5664661299388545        2.5676221618665389     
 -0.65999996662139893        2.5329499794721597        2.5546425977168994        2.5536188259295001     
 -0.63999998569488525        2.5205333243687944        2.5415876739927850        2.5394777363786982     
 -0.62000000476837158        2.5078833363771436        2.5265396996156717        2.5251968588720217     
 -0.60000002384185791        2.4950000154972072        2.5118966804651155        2.5107741593376258     
 -0.58000004291534424        2.4818833617289853        2.4973872227549592        2.4962075613314902     
 -0.56000000238418579        2.4685333349386851        2.4819963889758316        2.4814949008212293     
 -0.54000002145767212        2.4549500146985053        2.4668825539474852        2.4666341008207859     
 -0.51999998092651367        2.4411333200454708        2.4520520018429153        2.4516228621273992     
 -0.50000000000000000        2.4270833333333330        2.4368832116101729        2.4364590163934423     
 -0.48000001907348633        2.4128000137329098        2.4215031038205108        2.4211402127756694     
 -0.46000003814697266        2.3982833612442009        2.4059025882369465        2.4056640950711783     
 -0.43999999761581421        2.3835333315610887        2.3903933302531026        2.3900282089649361     
 -0.42000001668930054        2.3685500126004220        2.3744826341492224        2.3742301874483296     
 -0.40000003576278687        2.3533333607514697        2.3583967653094362        2.3582674697391770     
 -0.37999999523162842        2.3378833296219508        2.3422707804691751        2.3421374373159480     
 -0.36000001430511475        2.3222000113010406        2.3258874065886399        2.3258375587336459     
 -0.34000003337860107        2.3062833600918449        2.3094565518010359        2.3093650995456900     
 -0.31999999284744263        2.2901333275159201        2.2928521100225154        2.2927172624807959     
 -0.30000001192092896        2.2737500098347665        2.2759631127095057        2.2758913368175411     
 -0.28000003099441528        2.2571333592653273        2.2589614472037827        2.2588843988640428     
 -0.25999999046325684        2.2402833252429959        2.2418064881586837        2.2416934564595938     
 -0.24000000953674316        2.2232000082015988        2.2242809048618604        2.2243156031182956     
 -0.22000002861022949        2.2058833582719162        2.2068646160419161        2.2067477085899263     
 -0.20000004768371582        2.1883333754539480        2.1889998149968530        2.1889866211023596     
